match_type,match_value,canonical_exchange,suffixes,priority,is_active,note
exact,EURONEXT AMSTERDAM,EURONEXT_AMSTERDAM,AS,10,1,Netherlands
exact,IRISH STOCK EXCHANGE - ALL MARKET,IRISH_STOCK_EXCHANGE,IR,10,1,Ireland
exact,LONDON STOCK EXCHANGE,LONDON_STOCK_EXCHANGE,L,10,1,UK
exact,NASDAQ OMX HELSINKI LTD.,NASDAQ_HELSINKI,HE,10,1,Finland
exact,NASDAQ OMX NORDIC,NASDAQ_NORDIC,ST,10,1,Sweden default
exact,NEW ZEALAND EXCHANGE LTD,NEW_ZEALAND_EXCHANGE,NZ,10,1,New Zealand
exact,NYSE EURONEXT - EURONEXT BRUSSELS,EURONEXT_BRUSSELS,BR,10,1,Belgium
exact,NYSE EURONEXT - EURONEXT LISBON,EURONEXT_LISBON,LS,10,1,Portugal
exact,NYSE EURONEXT - EURONEXT PARIS,EURONEXT_PARIS,PA,10,1,France
exact,OMX NORDIC EXCHANGE COPENHAGEN A/S,OMX_COPENHAGEN,CO,10,1,Denmark
exact,OSLO BORS ASA,OSLO_BORS,OL,10,1,Norway
exact,SIX SWISS EXCHANGE,SIX_SWISS_EXCHANGE,SW,10,1,Switzerland
exact,SINGAPORE EXCHANGE,SINGAPORE_EXCHANGE,SI,10,1,Singapore
exact,TEL AVIV STOCK EXCHANGE,TEL_AVIV_STOCK_EXCHANGE,TA,10,1,Israel
exact,TOKYO STOCK EXCHANGE,TOKYO_STOCK_EXCHANGE,T,10,1,Japan
exact,WIENER BOERSE AG,WIENER_BOERSE,VI,10,1,Austria
exact,XETRA,XETRA,DE,10,1,Germany
exact,NASDAQ,US_NASDAQ,,10,1,US no suffix
exact,NYSE,US_NYSE,,10,1,US no suffix
contains,EURONEXT PARIS,EURONEXT_PARIS,PA,50,1,Fuzzy fallback
contains,EURONEXT BRUSSELS,EURONEXT_BRUSSELS,BR,50,1,Fuzzy fallback
contains,EURONEXT LISBON,EURONEXT_LISBON,LS,50,1,Fuzzy fallback
contains,EURONEXT AMSTERDAM,EURONEXT_AMSTERDAM,AS,50,1,Fuzzy fallback
contains,HONG KONG,HONG_KONG_EXCHANGE,HK,50,1,Fuzzy fallback
contains,PHILIPPINE STOCK EXCHANGE,PHILIPPINE_STOCK_EXCHANGE,PS,50,1,Fuzzy fallback
contains,BUDAPEST,BUDAPEST_STOCK_EXCHANGE,BD,50,1,Fuzzy fallback
contains,ABU DHABI,ABU_DHABI_SECURITIES_EXCHANGE,AD,50,1,Fuzzy fallback
contains,DUBAI FINANCIAL MARKET,DUBAI_FINANCIAL_MARKET,DU,50,1,Fuzzy fallback
contains,BORSA ITALIANA,BORSA_ITALIANA,MI,50,1,Fuzzy fallback
contains,TOKYO STOCK EXCHANGE,TOKYO_STOCK_EXCHANGE,T,50,1,Fuzzy fallback
contains,LONDON STOCK EXCHANGE,LONDON_STOCK_EXCHANGE,L,50,1,Fuzzy fallback
contains,SINGAPORE EXCHANGE,SINGAPORE_EXCHANGE,SI,50,1,Fuzzy fallback
contains,XETRA,XETRA,DE,50,1,Fuzzy fallback
